OBJECTID,Geographic ID for geographic unit,Planning Region,ARC Modeling Area,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Civilian non-institutionalized population, 2022","# Civilian non-institutionalized population, 2022 (MOE)","# Civilian non-institutionalized population with health insurance, 2022","# Civilian non-institutionalized population with health insurance, 2022 (MOE)","% Civilian non-institutionalized population with health insurance, 2022","% Civilian non-institutionalized population with health insurance, 2022 (MOE)","# Civilian non-institutionalized population with private health insurance, 2022","# Civilian non-institutionalized population with private health insurance, 2022 (MOE)","% Civilian non-institutionalized population with private health insurance, 2022","% Civilian non-institutionalized population with private health insurance, 2022 (MOE)","# Civilian non-institutionalized population with public health insurance, 2022","# Civilian non-institutionalized population with public health insurance, 2022 (MOE)","% Civilian non-institutionalized population with public health insurance, 2022","% Civilian non-institutionalized population with public health insurance, 2022 (MOE)","# Civilian non-institutionalized population, no health insurance, 2022","# Civilian non-institutionalized population, no health insurance, 2022 (MOE)","% Civilian non-institutionalized population, no health insurance, 2022","% Civilian non-institutionalized population, no health insurance, 2022 (MOE)","# Civilian non-institutionalized population under 19 years, 2022","# Civilian non-institutionalized population under 19 years, 2022 (MOE)","# Civilian non-institutionalized population under 19 years, no health insurance, 2022","# Civilian non-institutionalized population under 19 years, no health insurance, 2022 (MOE)","% Civilian non-institutionalized population under 19 years, no health insurance, 2022","% Civilian non-institutionalized population under 19 years, no health insurance, 2022 (MOE)","# Civilian population 19 to 64 years employed, 2022","# Civilian population 19 to 64 years employed, 2022 (MOE)","# Civilian population 19 to 64 years employed, no health insurance, 2022","# Civilian population 19 to 64 years employed, no health insurance, 2022 (MOE)","% Civilian population 19 to 64 years employed, no health insurance, 2022","% Civilian population 19 to 64 years employed, no health insurance, 2022 (MOE)","# Civilian population 19 to 64 years unemployed, 2022","# Civilian population 19 to 64 years unemployed, 2022 (MOE)","# Civilian population 19 to 64 years unemployed, no health insurance, 2022","# Civilian population 19 to 64 years unemployed, no health insurance, 2022 (MOE)","% Civilian population 19 to 64 years unemployed, no health insurance, 2022","% Civilian population 19 to 64 years unemployed, no health insurance, 2022 (MOE)","# Civilian population 19 to 64 years not in labor force, 2022","# Civilian population 19 to 64 years not in labor force, 2022 (MOE)","# Civilian population 19 to 64 years not in labor force, no health insurance, 2022","# Civilian population 19 to 64 years not in labor force, no health insurance, 2022 (MOE)","% Civilian population 19 to 64 years not in labor force, no health insurance, 2022","% Civilian population 19 to 64 years not in labor force, no health insurance, 2022 (MOE)","# Civilian non-institutionalized population ages 19 and over, 2022","# Civilian non-institutionalized population ages 19 and over, 2022 (MOE)","# Civilian noninstitutionalized population ages 19 and over, no health insurance, 2022","# Civilian noninstitutionalized population ages 19 and over, no health insurance, 2022 (MOE)","% Civilian noninstitutionalized population ages 19 and over, no health insurance, 2022","% Civilian noninstitutionalized population ages 19 and over, no health insurance, 2022 (MOE)","# Civilian noninstitutionalized population with employer-provided health insurance, 2022","# Civilian noninstitutionalized population with employer-provided health insurance, 2022 (MOE)","% Civilian noninstitutionalized population with employer-provided health insurance, 2022","% Civilian noninstitutionalized population with employer-provided health insurance, 2022 (MOE)","# Civilian population 19 to 64 years with employer-provided health insurance, 2022","# Civilian population 19 to 64 years with employer-provided health insurance, 2022 (MOE)","% Civilian population 19 to 64 years with employer-provided health insurance, 2022","% Civilian population 19 to 64 years with employer-provided health insurance, 2022 (MOE)","# Civilian noninstitutionalized population under age 6, 2022","# Civilian noninstitutionalized population under age 6, 2022 (MOE)","# Civilian noninstitutionalized under age 6 without health insurance, 2022","# Civilian noninstitutionalized under age 6 without health insurance, 2022 (MOE)","% Civilian noninstitutionalized under age 6 without health insurance, 2022","% Civilian noninstitutionalized under age 6 without health insurance, 2022 (MOE)","# Civilian noninstitutionalized population under age 65, 2022","# Civilian noninstitutionalized population under age 65, 2022 (MOE)","# Civilian noninstitutionalized under age 65 without health insurance, 2022","# Civilian noninstitutionalized under age 65 without health insurance, 2022 (MOE)","% Civilian noninstitutionalized under age 65 without health insurance, 2022","% Civilian noninstitutionalized under age 65 without health insurance, 2022 (MOE)",Shape__Area,Shape__Length
100,1320932,Atlanta Regional Commission,Yes,540,City,2021,Cumming city,6867,48,5901,617,85.9,9,4413,569,64.3,8.3,2420,422,35.2,6.1,966,289,14.1,4.2,1171,263,31,35,2.6,2.9,3281,438,561,220,17.1,6.3,156,117,115,95,73.7,25.5,908,256,235,112,25.9,9.9,5696,395,935,287,16.4,4.9,3852,522,56.1,7.6,2713,429,62.4,8.8,411,204,0,28,0,6.9,5516,591,942,269,17.1,4.5,28722927.13,70759.5769
103,1321184,Atlanta Regional Commission,Yes,543,City,2021,Dacula city,6906,17,6331,741,91.7,10.7,5200,668,75.3,9.7,1452,482,21,7,575,261,8.3,3.8,2314,329,220,136,9.5,5.7,2778,373,55,74,2,2.7,130,112,21,55,16.2,40,1022,452,279,202,27.3,15.6,4592,501,355,223,7.7,4.8,4032,590,58.4,8.5,2722,388,69.3,6.6,745,342,0,28,0,3.8,6244,811,575,300,9.2,4.7,19768865.95,66970.95453
113,1322052,Atlanta Regional Commission,Yes,557,City,2021,Decatur city,24318,40,23406,938,96.2,3.9,20899,877,85.9,3.6,4775,617,19.6,2.5,912,251,3.8,1,7840,555,140,122,1.8,1.6,10173,578,479,159,4.7,1.5,340,153,79,64,23.2,15.7,2765,421,202,156,7.3,5.5,16478,625,772,219,4.7,1.3,17610,790,72.4,3.2,10231,564,77.1,3,2119,410,37,46,1.7,2.2,21118,1014,900,242,4.3,1.1,17293522.31,28117.21001
123,1324600,Atlanta Regional Commission,Yes,572,City,2021,Duluth city,31676,75,27858,1391,87.9,4.4,23949,1340,75.6,4.2,6668,894,21.1,2.8,3818,727,12.1,2.3,7741,799,688,282,8.9,3.5,16565,752,2253,524,13.6,3.1,757,436,244,163,32.2,10.9,3039,483,607,203,20,5.9,23935,969,3130,670,13.1,2.7,19401,1234,61.2,3.9,13472,944,66.2,4,2460,416,92,74,3.7,2.9,28102,1574,3792,695,13.5,2.4,38558333.3,70417.57827
128,1325720,Atlanta Regional Commission,Yes,578,City,2021,East Point city,38048,32,31736,1675,83.4,4.4,21381,1372,56.2,3.6,13514,1319,35.5,3.5,6312,908,16.6,2.4,9330,1174,505,280,5.4,2.9,18932,858,3608,723,19.1,3.7,1476,451,752,353,50.9,18.2,4383,791,1447,437,33,8,28718,1184,5807,863,20.2,2.9,17692,1138,46.5,3,13696,944,55.2,2.9,3006,592,10,34,0.3,1.1,34121,1915,6312,864,18.5,2.3,55121337.02,59328.07196
136,1328380,Atlanta Regional Commission,Yes,592,City,2021,Fairburn city,16366,30,13968,1583,85.3,9.7,10753,1195,65.7,7.3,3982,1067,24.3,6.5,2398,705,14.7,4.3,5983,1152,343,163,5.7,2.5,7737,1024,1300,597,16.8,7.4,448,279,196,223,43.8,41.7,1348,458,559,283,41.5,15.6,10383,1236,2055,686,19.8,6.2,9778,1195,59.7,7.3,6458,882,67.7,3.6,2305,792,0,33,0,1.4,15516,1632,2398,684,15.5,4.1,64008662.1,89654.52982
139,1328968,Atlanta Regional Commission,Yes,595,City,2021,Fayetteville city,18493,115,16878,974,91.3,5.2,14176,879,76.7,4.7,5780,668,31.3,3.6,1615,422,8.7,2.3,4200,473,285,173,6.8,4,7371,535,622,217,8.4,2.9,448,277,229,196,51.1,30.3,2349,474,404,207,17.2,8.1,14293,821,1330,385,9.3,2.6,11344,769,61.3,4.1,6887,603,67.7,4.6,1003,235,190,144,18.9,13.7,14368,881,1540,389,10.7,2.6,49167032.23,114800.3374
144,1330536,Atlanta Regional Commission,Yes,601,City,2021,Forest Park city,19211,57,14952,1320,77.8,6.9,7953,941,41.4,4.9,8222,1254,42.8,6.5,4259,706,22.2,3.7,6047,856,656,260,10.8,4,7449,622,2403,534,32.3,6.6,708,233,421,221,59.5,24.3,2497,481,743,269,29.8,9.1,13164,919,3603,656,27.4,4.6,6388,826,33.3,4.3,4429,641,41.6,5.3,1471,365,120,86,8.2,5.5,16701,1284,4223,590,25.3,3,34732176.05,55905.61408
164,1334596,Atlanta Regional Commission,Yes,625,City,2021,Grayson city,4572,25,4420,711,96.7,15.5,4295,704,93.9,15.4,1075,419,23.5,9.2,152,139,3.3,3,1588,449,25,47,1.6,2.9,1998,315,84,104,4.2,5.2,32,37,0,14,0,43.8,451,174,43,49,9.5,10.2,2984,441,127,130,4.3,4.3,3846,630,84.1,13.8,2179,327,87.8,9.4,682,307,0,20,0,2.9,4069,743,152,98,3.7,2.3,9415373.066,28477.93349
173,1336472,Atlanta Regional Commission,Yes,636,City,2021,Hapeville city,6566,23,5254,908,80,13.8,3616,797,55.1,12.1,2103,659,32,10,1312,404,20,6.2,1723,635,222,237,12.9,12.9,3312,646,641,221,19.4,5.5,251,151,54,82,21.5,30,649,188,296,161,45.6,21,4843,658,1090,328,22.5,6,3051,682,46.5,10.4,2545,636,60.4,12.4,697,368,53,80,7.6,10.7,5935,882,1213,376,20.4,5.6,9019649.547,14280.37322
186,1339524,Atlanta Regional Commission,Yes,652,City,2021,Holly Springs city,16674,35,15351,1019,92.1,6.1,13285,931,79.7,5.6,3402,639,20.4,3.8,1323,434,7.9,2.6,4701,527,170,115,3.6,2.4,8047,599,611,319,7.6,3.9,256,135,211,128,82.4,24.7,1496,496,283,161,18.9,8.7,11973,739,1153,419,9.6,3.4,11362,909,68.1,5.5,7353,627,75,5,1273,460,58,44,4.6,3,14500,1271,1275,359,8.8,2.4,27856380.25,141184.4311
201,1343192,Atlanta Regional Commission,Yes,675,City,2021,Kennesaw city,33202,64,29248,1546,88.1,4.7,24292,1325,73.2,4,8316,1063,25,3.2,3954,973,11.9,2.9,7825,754,648,373,8.3,4.7,16507,944,1725,445,10.5,2.6,866,447,552,478,63.7,44.3,3724,504,925,320,24.8,7.9,25377,1110,3306,898,13,3.5,20952,1149,63.1,3.5,15113,966,71.6,3.7,2423,399,81,61,3.3,2.5,28922,1545,3850,722,13.3,2.4,37304922.46,104553.2253
206,1344508,Atlanta Regional Commission,Yes,682,City,2021,Lake City city,2689,22,2351,290,87.4,10.8,1609,233,59.8,8.7,862,214,32.1,8,338,104,12.6,3.9,513,169,31,37,6,6.9,1489,191,185,72,12.4,4.6,22,32,8,11,36.4,72.8,352,145,110,74,31.3,16.6,2176,222,307,97,14.1,4.2,1352,224,50.3,8.3,1165,209,62.5,9.4,149,88,0,20,0,13.3,2376,358,334,109,14.1,4.1,6956586.508,16749.85761
213,1346356,Atlanta Regional Commission,Yes,692,City,2021,Lilburn city,14604,42,11445,1472,78.4,10.1,6977,1136,47.8,7.8,5480,1443,37.5,9.9,3159,604,21.6,4.1,4707,1019,373,328,7.9,6.7,5564,758,1894,397,34,5.4,277,145,78,60,28.2,15.9,1760,381,740,244,42,10.5,9897,889,2786,508,28.1,4.5,5429,727,37.2,5,3345,586,44,6.5,1498,573,226,321,15.1,20.6,12308,1199,3085,626,25.1,4.5,25610787.47,44208.22343
215,1346860,Atlanta Regional Commission,Yes,695,City,2021,Lithonia city,2610,16,2072,300,79.4,11.5,945,230,36.2,8.8,1185,270,45.4,10.3,538,175,20.6,6.7,885,194,101,75,11.4,8.1,1225,184,280,139,22.9,10.8,103,58,54,46,52.4,33.5,201,100,103,68,51.2,22.2,1725,190,437,158,25.3,8.7,885,201,33.9,7.7,782,187,51.1,10.7,308,127,45,53,14.6,16.1,2414,336,538,169,22.3,6.3,3484825.387,12199.7116
216,1347140,Atlanta Regional Commission,Yes,696,City,2021,Locust Grove city,9367,21,7695,763,82.2,8.1,6311,741,67.4,7.9,2674,623,28.5,6.6,1672,687,17.8,7.3,2718,547,371,299,13.6,10.6,4350,407,851,582,19.6,13.3,293,143,150,121,51.2,32.9,1341,350,260,161,19.4,10.9,6649,688,1301,619,19.6,9.1,5405,826,57.7,8.8,3676,680,61.4,9.2,555,244,62,64,11.2,10.5,8702,983,1632,558,18.8,6.1,43837369.01,90782.56342
224,1348624,Atlanta Regional Commission,Yes,710,City,2021,McDonough city,28130,161,25859,1432,91.9,5.1,20903,1300,74.3,4.6,7444,1036,26.5,3.7,2271,670,8.1,2.4,8112,906,233,252,2.9,3.1,13906,768,1181,441,8.5,3.1,961,299,398,212,41.4,17.9,2923,542,405,279,13.9,9.2,20018,980,2038,620,10.2,3.1,17087,1259,60.7,4.5,11964,1001,67.3,4.6,2400,476,54,89,2.3,3.7,25902,1685,2217,568,8.6,2.1,50497026.69,130575.162
232,1349756,Atlanta Regional Commission,Yes,718,City,2021,Marietta city,60496,114,49025,2071,81,3.4,39148,1949,64.7,3.2,15167,1171,25.1,1.9,11471,1194,19,2,14291,1132,1656,570,11.6,3.9,29689,1309,6667,772,22.5,2.4,995,308,286,196,28.7,17.6,7477,1028,2720,857,36.4,10.3,46205,1251,9815,1049,21.2,2.2,31930,1616,52.8,2.7,22200,1172,58.2,2.7,4690,859,220,127,4.7,2.6,52452,2158,11329,1210,21.6,2.1,88892671.47,208618.4473
246,1353004,Atlanta Regional Commission,Yes,743,City,2021,Morrow city,6563,21,4531,643,69,9.8,2922,485,44.5,7.4,1949,562,29.7,8.6,2032,606,31,9.2,2107,374,634,473,30.1,21.8,2519,307,652,264,25.9,10,300,224,171,159,57,31.6,1031,337,575,282,55.8,20.4,4456,468,1398,378,31.4,7.8,2050,433,31.2,6.6,1541,384,40,9.1,482,254,206,243,42.7,45.2,5957,841,2032,563,34.1,8.1,13101105.29,31447.78015
250,1353172,Atlanta Regional Commission,Yes,747,City,2021,Mountain Park city,959,293,917,276,95.6,41,809,272,84.4,11.8,219,67,22.8,9.9,42,39,4.4,3.9,181,92,0,20,0,10.9,470,245,24,22,5.1,3.9,12,15,12,15,100,0,117,56,6,7,5.1,5.5,778,262,42,34,5.4,4,461,122,48.1,19.5,300,99,50.1,26.7,37,39,0,20,0,53.5,780,203,42,48,5.4,6,2006668.82,6832.920049
278,1359724,Atlanta Regional Commission,Yes,781,City,2021,Peachtree City city,38149,53,35615,1176,93.4,3.1,31365,1141,82.2,3,9758,790,25.6,2.1,2534,502,6.6,1.3,9532,625,617,286,6.5,3,15658,682,932,298,6,1.9,593,217,77,105,13,17.1,4979,472,907,252,18.2,4.8,28617,774,1917,412,6.7,1.4,24510,1001,64.2,2.6,15521,745,73.1,2.8,1743,284,39,57,2.2,3.2,30762,1143,2533,443,8.2,1.4,97007000.77,63610.52283
279,1359735,Atlanta Regional Commission,Yes,782,City,2021,Peachtree Corners city,42147,69,36600,1397,86.8,3.3,29441,1233,69.9,2.9,10145,950,24.1,2.3,5547,938,13.2,2.2,10110,689,700,433,6.9,4.3,20818,911,3155,645,15.2,3,721,221,249,138,34.5,15.9,5011,684,1381,508,27.6,9.4,32037,997,4847,832,15.1,2.6,24310,1085,57.7,2.6,16649,854,62.7,2.7,3287,595,164,124,5,3.7,36660,1619,5485,899,15,2.4,61294239.13,63050.92217
288,1362524,Atlanta Regional Commission,Yes,800,City,2021,Powder Springs city,16672,60,15053,1214,90.3,7.3,11881,1070,71.3,6.4,4594,777,27.6,4.7,1619,386,9.7,2.3,4287,703,271,151,6.3,3.4,8283,670,988,291,11.9,3.4,360,145,92,78,25.6,19.1,1622,486,219,142,13.5,7.8,12385,836,1348,355,10.9,2.8,10166,902,61,5.4,7210,722,70.2,4.9,1146,382,0,33,0,2.8,14552,1139,1570,364,10.8,2.4,28951488.71,88595.8197
303,1365464,Atlanta Regional Commission,Yes,821,City,2021,Riverdale city,14786,31,12913,1005,87.3,6.8,8433,843,57,5.7,5743,817,38.8,5.5,1873,548,12.7,3.7,3472,547,307,338,8.8,9.6,7613,620,969,352,12.7,4.5,212,113,92,68,43.4,22.2,1871,393,482,237,25.8,11.5,11314,637,1566,431,13.8,3.7,7403,870,50.1,5.9,5648,740,58.3,7,1238,398,79,97,6.4,7.5,13168,1144,1850,480,14,3.4,16433090.67,48307.79973
315,1368516,Atlanta Regional Commission,Yes,835,City,2021,Sandy Springs city,106720,115,97286,2469,91.2,2.3,86027,2349,80.6,2.2,22145,1595,20.8,1.5,9434,1380,8.8,1.3,21136,1345,1177,526,5.6,2.5,57513,1493,4987,790,8.7,1.4,2304,536,350,186,15.2,7.3,10871,1239,2741,1120,25.2,9.9,85584,1779,8257,1276,9.6,1.5,71771,2095,67.3,2,52400,1745,74.1,2,7026,823,235,286,3.3,4,91824,2961,9255,1306,10.1,1.4,145317909.7,82987.91075
326,1371492,Atlanta Regional Commission,Yes,851,City,2021,Smyrna city,55629,84,49164,1659,88.4,3,42608,1589,76.6,2.9,11178,1184,20.1,2.1,6465,1052,11.6,1.9,12850,843,824,333,6.4,2.6,31707,1004,4023,694,12.7,2.2,1179,314,339,148,28.8,9.9,4429,759,1278,614,28.9,13,42779,1087,5641,998,13.2,2.3,36789,1571,66.1,2.8,26629,1320,71.4,3.1,5187,714,193,145,3.7,2.7,50165,1974,6464,858,12.9,1.6,59419474.57,138775.1521
327,1371604,Atlanta Regional Commission,Yes,852,City,2021,Snellville city,20545,41,18420,1149,89.7,5.6,14777,1091,71.9,5.3,6060,787,29.5,3.8,2125,418,10.3,2,4672,555,143,137,3.1,2.9,8992,648,936,327,10.4,3.6,369,144,245,116,66.4,17.8,3137,525,736,251,23.5,7,15873,893,1982,395,12.5,2.4,11511,964,56,4.7,7761,762,62.1,5,1032,291,28,50,2.7,4.8,17170,1188,2060,427,12,2.3,39968890.62,65597.18059
329,1372122,Atlanta Regional Commission,Yes,855,City,2021,South Fulton city,107410,207,96660,3188,90,3,71783,3026,66.8,2.8,37145,2750,34.6,2.6,10750,1646,10,1.5,28377,1779,841,496,3,1.7,50980,2058,6287,1300,12.3,2.5,3767,961,1146,374,30.4,6.2,12128,1338,2352,858,19.4,6.7,79033,2022,9909,1569,12.5,2,59797,2795,55.7,2.6,42020,2178,62.8,2.8,6866,1035,207,279,3,4,95252,3643,10626,1436,11.2,1.4,352853316.9,449226.9209
334,1373704,Atlanta Regional Commission,Yes,863,City,2021,Stockbridge city,28858,86,25372,1441,87.9,5,20324,1381,70.4,4.8,7675,1155,26.6,4,3486,802,12.1,2.8,7101,913,799,384,11.3,5.2,14422,885,1997,607,13.8,4.1,647,311,240,154,37.1,15.8,3040,702,450,242,14.8,7.2,21757,1134,2687,705,12.4,3.2,17319,1185,60,4.1,12884,956,71.1,3.8,1968,453,441,199,22.4,8.7,25210,1549,3486,703,13.8,2.7,51642024.5,156310.4438
